-------------------------------------
Registry name, Name, Type, Rarity, ID
-------------------------------------
alexsmobs:board_return, enchantment.alexsmobs.board_return, straddleboard, UNCOMMON (5), 43
alexsmobs:lavawax, enchantment.alexsmobs.lavawax, straddleboard, UNCOMMON (5), 41
alexsmobs:serpentfriend, enchantment.alexsmobs.serpentfriend, straddleboard, RARE (2), 42
alexsmobs:straddle_jump, enchantment.alexsmobs.straddle_jump, straddleboard, COMMON (10), 40
allurement:alleviating, enchantment.allurement.alleviating, ARMOR, RARE (2), 60
allurement:ascension_curse, enchantment.allurement.ascension_curse, VANISHABLE, VERY_RARE (1), 67
allurement:fleeting_curse, enchantment.allurement.fleeting_curse, VANISHABLE, VERY_RARE (1), 68
allurement:launch, enchantment.allurement.launch, WEAPON, UNCOMMON (5), 61
allurement:reeling, enchantment.allurement.reeling, CROSSBOW, RARE (2), 62
allurement:reforming, enchantment.allurement.reforming, BREAKABLE, RARE (2), 63
allurement:shockwave, enchantment.allurement.shockwave, ARMOR_FEET, UNCOMMON (5), 64
allurement:spread_of_ailments, enchantment.allurement.spread_of_ailments, CROSSBOW, RARE (2), 65
allurement:vengeance, enchantment.allurement.vengeance, ARMOR_CHEST, VERY_RARE (1), 66
apotheosis:bane_of_illagers, enchantment.apotheosis.bane_of_illagers, WEAPON, UNCOMMON (5), 96
apotheosis:berserkers_fury, enchantment.apotheosis.berserkers_fury, ARMOR_CHEST, VERY_RARE (1), 91
apotheosis:capturing, enchantment.apotheosis.capturing, WEAPON, VERY_RARE (1), 107
apotheosis:chainsaw, enchantment.apotheosis.chainsaw, AXE, VERY_RARE (1), 105
apotheosis:chromatic, enchantment.apotheosis.chromatic, SHEARS, RARE (2), 101
apotheosis:crescendo, enchantment.apotheosis.crescendo, CROSSBOW, VERY_RARE (1), 98
apotheosis:earths_boon, enchantment.apotheosis.earths_boon, PICKAXE, VERY_RARE (1), 104
apotheosis:endless_quiver, enchantment.apotheosis.endless_quiver, BOW, VERY_RARE (1), 100
apotheosis:exploitation, enchantment.apotheosis.exploitation, SHEARS, VERY_RARE (1), 102
apotheosis:growth_serum, enchantment.apotheosis.growth_serum, SHEARS, VERY_RARE (1), 103
apotheosis:icy_thorns, enchantment.apotheosis.icy_thorns, ARMOR_CHEST, RARE (2), 87
apotheosis:infusion, enchantment.apotheosis.infusion, apotheosis.null, VERY_RARE (1), 99
apotheosis:knowledge, enchantment.apotheosis.knowledge, WEAPON, RARE (2), 92
apotheosis:life_mending, enchantment.apotheosis.life_mending, BREAKABLE, VERY_RARE (1), 86
apotheosis:miners_fervor, enchantment.apotheosis.miners_fervor, DIGGER, RARE (2), 83
apotheosis:natures_blessing, enchantment.apotheosis.natures_blessing, HOE, RARE (2), 94
apotheosis:obliteration, enchantment.apotheosis.obliteration, ANVIL, RARE (2), 97
apotheosis:rebounding, enchantment.apotheosis.rebounding, ARMOR_CHEST_LEGS, RARE (2), 95
apotheosis:reflective, enchantment.apotheosis.reflective, SHIELD, RARE (2), 90
apotheosis:scavenger, enchantment.apotheosis.scavenger, WEAPON, VERY_RARE (1), 85
apotheosis:shield_bash, enchantment.apotheosis.shield_bash, SHIELD, RARE (2), 89
apotheosis:spearfishing, enchantment.apotheosis.spearfishing, TRIDENT, UNCOMMON (5), 106
apotheosis:splitting, enchantment.apotheosis.splitting, ANVIL, RARE (2), 93
apotheosis:stable_footing, enchantment.apotheosis.stable_footing, ARMOR_FEET, RARE (2), 84
apotheosis:tempting, enchantment.apotheosis.tempting, HOE, UNCOMMON (5), 88
ars_elemental:mirror_shield, enchantment.ars_elemental.mirror_shield, magic_shield, VERY_RARE (1), 77
ars_elemental:soulbound, enchantment.ars_elemental.soulbound, soulbounding, VERY_RARE (1), 78
ars_nouveau:mana_boost, enchantment.ars_nouveau.mana_boost, ARMOR, UNCOMMON (5), 70
ars_nouveau:mana_regen, enchantment.ars_nouveau.mana_regen, ARMOR, UNCOMMON (5), 69
ars_nouveau:reactive, enchantment.ars_nouveau.reactive, WEARABLE, VERY_RARE (1), 71
cofh_core:holding, enchantment.cofh_core.holding, VANISHABLE, COMMON (10), 82
create:capacity, enchantment.create.capacity, ARMOR_CHEST, COMMON (10), 75
create:potato_recovery, enchantment.create.potato_recovery, BOW, UNCOMMON (5), 74
deeperdarker:sculk_smite, enchantment.deeperdarker.sculk_smite, WEAPON, UNCOMMON (5), 53
enigmaticlegacy:ceaseless, enchantment.enigmaticlegacy.ceaseless, CROSSBOW, RARE (2), 46
enigmaticlegacy:eternal_binding, enchantment.enigmaticlegacy.eternal_binding, WEARABLE, RARE (2), 51
enigmaticlegacy:nemesis, enchantment.enigmaticlegacy.nemesis, WEAPON, RARE (2), 47
