-------------------------------------
Mod name, Registry name, ID, Category
-------------------------------------
Abundant Atmosphere, abundant_atmosphere:boat, 180, misc
Abundant Atmosphere, abundant_atmosphere:chest_boat, 181, misc
Alex's Mobs, alexsmobs:alligator_snapping_turtle, 418, creature
Alex's Mobs, alexsmobs:anaconda, 457, creature
Alex's Mobs, alexsmobs:anaconda_part, 458, misc
Alex's Mobs, alexsmobs:anteater, 460, creature
Alex's Mobs, alexsmobs:bald_eagle, 440, creature
Alex's Mobs, alexsmobs:banana_slug, 492, creature
Alex's Mobs, alexsmobs:bison, 470, creature
Alex's Mobs, alexsmobs:blobfish, 408, water_ambient
Alex's Mobs, alexsmobs:blue_jay, 493, creature
Alex's Mobs, alexsmobs:bone_serpent, 382, monster
Alex's Mobs, alexsmobs:bone_serpent_part, 383, monster
Alex's Mobs, alexsmobs:bunfungus, 469, creature
Alex's Mobs, alexsmobs:cachalot_echo, 436, misc
Alex's Mobs, alexsmobs:cachalot_whale, 435, water_creature
Alex's Mobs, alexsmobs:capuchin_monkey, 399, creature
Alex's Mobs, alexsmobs:catfish, 475, water_ambient
Alex's Mobs, alexsmobs:centipede_body, 402, misc
Alex's Mobs, alexsmobs:centipede_head, 401, monster
Alex's Mobs, alexsmobs:centipede_tail, 403, misc
Alex's Mobs, alexsmobs:cockroach, 410, ambient
Alex's Mobs, alexsmobs:cockroach_egg, 411, misc
Alex's Mobs, alexsmobs:comb_jelly, 467, water_ambient
Alex's Mobs, alexsmobs:cosmaw, 454, creature
Alex's Mobs, alexsmobs:cosmic_cod, 468, ambient
Alex's Mobs, alexsmobs:crimson_mosquito, 391, monster
Alex's Mobs, alexsmobs:crocodile, 385, water_creature
Alex's Mobs, alexsmobs:crow, 417, creature
Alex's Mobs, alexsmobs:devils_hole_pupfish, 474, water_ambient
Alex's Mobs, alexsmobs:dropbear, 432, monster
Alex's Mobs, alexsmobs:elephant, 413, creature
Alex's Mobs, alexsmobs:emu, 429, creature
Alex's Mobs, alexsmobs:emu_egg, 430, misc
Alex's Mobs, alexsmobs:endergrade, 394, creature
Alex's Mobs, alexsmobs:enderiophage, 438, creature
Alex's Mobs, alexsmobs:enderiophage_rocket, 439, misc
Alex's Mobs, alexsmobs:farseer, 484, monster
Alex's Mobs, alexsmobs:fart, 491, misc
Alex's Mobs, alexsmobs:flutter, 462, ambient
Alex's Mobs, alexsmobs:fly, 386, ambient
Alex's Mobs, alexsmobs:flying_fish, 476, water_ambient
Alex's Mobs, alexsmobs:frilled_shark, 447, water_creature
Alex's Mobs, alexsmobs:froststalker, 450, creature
Alex's Mobs, alexsmobs:gazelle, 384, creature
Alex's Mobs, alexsmobs:gelada_monkey, 464, creature
Alex's Mobs, alexsmobs:giant_squid, 471, water_creature
Alex's Mobs, alexsmobs:gorilla, 390, creature
Alex's Mobs, alexsmobs:grizzly_bear, 380, creature
Alex's Mobs, alexsmobs:gust, 423, misc
Alex's Mobs, alexsmobs:guster, 421, monster
Alex's Mobs, alexsmobs:hammerhead_shark, 395, water_creature
Alex's Mobs, alexsmobs:hemolymph, 425, misc
Alex's Mobs, alexsmobs:hummingbird, 387, creature
Alex's Mobs, alexsmobs:ice_shard, 451, misc
Alex's Mobs, alexsmobs:jerboa, 465, ambient
Alex's Mobs, alexsmobs:kangaroo, 434, creature
Alex's Mobs, alexsmobs:komodo_dragon, 398, creature
Alex's Mobs, alexsmobs:laviathan, 453, creature
Alex's Mobs, alexsmobs:leafcutter_ant, 437, creature
Alex's Mobs, alexsmobs:lobster, 397, water_ambient
Alex's Mobs, alexsmobs:maned_wolf, 456, creature
Alex's Mobs, alexsmobs:mantis_shrimp, 420, water_creature
